Country code,Coun,Zone,Ranking 2015,Ranking 2014,Ranking 2013,Ranking 2012,Ranking 2011,Ranking 2010,Ranking 2009,Ranking 2008,Ranking 2007,Ranking 2006,Ranking 2005,Ranking 2004,Ranking 2003,Ranking 2002,Score 2015,Score 2015 W/o exactions,Score 2014,Score 2013,Pluralism 2015,Media independence 2015,Environment and self-censorship 2015,Legal framework 2015,Institutional transparency 2015,Infrastructures 2015,Exactions 2015,URL country page FR,URL country page EN,URL country page ES,Journalists killed 2014,Net-citizens killed 2014,Narrative FR,Narrative EN,Narrative ES
JOR,Jordan,Middle East & North Africa,141,141,134,134,,120,112,128,122,109,96,121,122,99,40.42,42.07,40.42,38.47,,,,,,,17.92,http://fr.rsf.org/jordanie.html,http://en.rsf.org/jordan.html,http://es.rsf.org/jordania.html,0,0,,,
KAZ,Kazakhstan,Eastern Europe & Central Asia,161,161,160,160,,162,142,125,125,128,119,131,138,116,54.94,53.46,54.94,55.08,,,,,,,41.11,http://fr.rsf.org/kazakhstan.html,http://en.rsf.org/kazakhstan.html,http://en.rsf.org/kazakhstan.html,0,0,,,
KEN,Kenya,Africa,90,90,71,71,,70,96,97,78,118,109,82,79,75,30.7,31.42,30.7,27.8,,,,,,,34.66,http://fr.rsf.org/kenya.html,http://en.rsf.org/kenya.html,http://es.rsf.org/kenia.html,0,0,,,
KGZ,Kyrgyzstan,Eastern Europe & Central Asia,97,97,106,106,,159,125,111,110,,,,,,31.24,30.69,31.24,32.2,,,,,,,19.46,http://fr.rsf.org/kirghizistan.html,http://en.rsf.org/kyrgyzstan.html,http://en.rsf.org/kyrgyzstan.html,0,0,,,
KOS,Kosovo,European Union & the Balkans,80,80,85,85,,92,75,58,60,70,100,,,,29.29,30.63,29.29,28.47,,,,,,,21.97,http://fr.rsf.org/kosovo.html,http://en.rsf.org/kosovo.html,http://en.rsf.org/kosovo.html,0,0,,,
KWT,Kuwait,Middle East & North Africa,91,91,77,77,,87,60,61,63,73,85,103,102,78,30.71,30.71,30.71,28.28,,,,,,,31.35,http://fr.rsf.org/koweit.html,http://en.rsf.org/kuwait.html,http://es.rsf.org/kuwait.html,0,0,,,
LAO,Lao People's Democratic Republic,Asia-Pacific,171,171,168,168,,168,169,164,161,156,155,153,163,133,71.22,71.25,71.22,67.99,,,,,,,56.02,http://fr.rsf.org/laos,http://en.rsf.org/laos,http://en.rsf.org/laos,0,0,,,
LSO,Lesotho,Africa,74,74,81,81,,90,99,116,99,70,81,98,75,,28.36,28.36,28.36,28.36,,,,,,,,http://fr.rsf.org/lesotho.html,http://en.rsf.org/lesotho.html,http://es.rsf.org/lesoto.html,0,0,,,
LVA,Latvia,European Union & the Balkans,37,37,39,39,,30,13,7,12,10,16,10,11,,21.1,18.12,21.1,22.89,,,,,,,,http://fr.rsf.org/lettonie.html,http://en.rsf.org/latvia.html,http://en.rsf.org/latvia.html,0,0,,,
LBN,Lebanon,Middle East & North Africa,106,106,101,101,,78,61,66,98,107,108,87,106,56,31.89,31.81,31.89,30.15,,,,,,,23.98,http://fr.rsf.org/liban.html,http://en.rsf.org/lebanon.html,http://es.rsf.org/libano.html,0,0,,,
